columna georreferenciada,LATITUD,LONGITUD,No,TIPO DE INFRACCIÓN,description,name,point
POINT (-74.7777 10.94252),10.94252,-74.7777,11,EXCESO DE VELOCIDAD,No.: 11<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.94252<br>LONGITUD: -74.7777,CALLE 19 CON CARRERA 4C,POINT (-74.7777 10.94252)
POINT (-74.83351 11.00788),11.00788,-74.83351,12,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 12<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 11.00788<br>LONGITUD: -74.83351,CARRERA 46 CON CALLE 100,POINT (-74.83351 11.00788)
POINT (-74.7925 11.01211),11.01211,-74.7925,13,EXCESO DE VELOCIDAD,No.: 13<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01211<br>LONGITUD: -74.7925,VIA 40 CON CALLE 73,POINT (-74.7925 11.01211)
POINT (-74.81144 11.01113),11.01113,-74.81144,14,EXCESO DE VELOCIDAD,No.: 14<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01113<br>LONGITUD: -74.81144,CALLE 84 CON CARRERA 59,POINT (-74.81144 11.01113)
POINT (-74.79308 10.96212),10.96212,-74.79308,15,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 15<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 10.96212<br>LONGITUD: -74.79308,CALLE 45 CON CARRERA 21 SENTIDO SUR-NORTE,POINT (-74.79308 10.96212)
POINT (-74.79337 10.96134),10.96134,-74.79337,16,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 16<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 10.96134<br>LONGITUD: -74.79337,CALLE 45 CON CARRERA 21 SENTIDO NORTE-SUR,POINT (-74.79337 10.96134)
POINT (-74.83612 10.97787),10.97787,-74.83612,17,EXCESO DE VELOCIDAD,No.: 17<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97787<br>LONGITUD: -74.83612,AVENIDA CIRCUNVALAR CON CARRERA 31,POINT (-74.83612 10.97787)
POINT (-74.83624 10.97871),10.97871,-74.83624,18,EXCESO DE VELOCIDAD,No.: 18<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97871<br>LONGITUD: -74.83624,Calle 110#29-120 (centro industrial),POINT (-74.83624 10.97871)
POINT (-74.83808 10.962570000000001),10.96257,-74.83808,19,EXCESO DE VELOCIDAD,No.: 19<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.96257<br>LONGITUD: -74.83808,AVENIDA CIRCUNVALAR (CALLE 110) ENTRE CARRERA 9G Y 12 SENTIDO NORTE A SUR,POINT (-74.83808 10.962570000000001)
POINT (-74.83793 10.96272),10.96272,-74.83793,20,EXCESO DE VELOCIDAD,No.: 20<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.96272<br>LONGITUD: -74.83793,AVENIDA CIRCUNVALAR (CALLE 110) ENTRE CARRERA 9G Y 12 SENTIDO SUR A NORTE,POINT (-74.83793 10.96272)
POINT (-74.81622 10.9475),10.9475,-74.81622,21,EXCESO DE VELOCIDAD,No.: 21<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.9475<br>LONGITUD: -74.81622,CARRERA 6 CON CALLE 72,POINT (-74.81622 10.9475)
POINT (-74.89345 10.957490000000002),10.95749,-74.89345,22,EXCESO DE VELOCIDAD,No.: 22<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.95749<br>LONGITUD: -74.89345,VIA 11 CON CARRERA 8,POINT (-74.89345 10.957490000000002)
POINT (-74.830563 10.943326),10.943326,-74.830563,23,EXCESO DE VELOCIDAD,No.: 23<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.943326<br>LONGITUD: -74.830563,Carrera 6 (Cordialidad) entre calles 99B y 99C,POINT (-74.830563 10.943326)
POINT (-74.83438 11.01742),11.01742,-74.83438,24,EXCESO DE VELOCIDAD,No.: 24<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01742<br>LONGITUD: -74.83438,CARRERA 53 CON CALLE 104,POINT (-74.83438 11.01742)
POINT (-74.82514 11.01575),11.01575,-74.82514,25,EXCESO DE VELOCIDAD,No.: 25<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01575<br>LONGITUD: -74.82514,CALLE 98 CON CARRERA 56,POINT (-74.82514 11.01575)
POINT (-74.823 10.97109),10.97109,-74.823,26,EXCESO DE VELOCIDAD,No.: 26<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97109<br>LONGITUD: -74.823,CALLE 87 CON CARRERA 21,POINT (-74.823 10.97109)
POINT (-74.77608000000001 10.95356),10.95356,-74.77608,27,EXCESO DE VELOCIDAD,No.: 27<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.95356<br>LONGITUD: -74.77608,CARRERA 15 CON CALLE 21,POINT (-74.77608000000001 10.95356)
POINT (-74.82071 11.01561),11.01561,-74.82071,28,EXCESO DE VELOCIDAD,No.: 28<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01561<br>LONGITUD: -74.82071,CALLE 94 CON CARRERA 58,POINT (-74.82071 11.01561)
POINT (-74.78356 10.942760000000002),10.94276,-74.78356,29,EXCESO DE VELOCIDAD,No.: 29<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.94276<br>LONGITUD: -74.78356,CALLE 30 CON CARRERA 6B,POINT (-74.78356 10.942760000000002)
POINT (-74.82306 10.97935),10.97935,-74.82306,30,EXCESO DE VELOCIDAD,No.: 30<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97935<br>LONGITUD: -74.82306,CARRERA 27 CON CALLE 82C,POINT (-74.82306 10.97935)
POINT (-74.79734 10.95467),10.95467,-74.79734,31,BLOQUEAR CRUCE,No.: 31<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.95467<br>LONGITUD: -74.79734,CALLE 45B CON CARRERA 14,POINT (-74.79734 10.95467)
POINT (-74.81254 11.0074),11.0074,-74.81254,32,BLOQUEAR CRUCE,No.: 32<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 11.0074<br>LONGITUD: -74.81254,CALLE 82 CON CARRERA 56,POINT (-74.81254 11.0074)
POINT (-74.78975 10.98771),10.98771,-74.78975,33,BLOQUEAR CRUCE,No.: 33<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.98771<br>LONGITUD: -74.78975,CARRERA 45 CON CALLE 53,POINT (-74.78975 10.98771)
POINT (-74.8034 10.99322),10.99322,-74.8034,34,BLOQUEAR CRUCE,No.: 34<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.99322<br>LONGITUD: -74.8034,CALLE 70 CON CARRERA 46,POINT (-74.8034 10.99322)
POINT (-74.7775 10.98383),10.98383,-74.7775,35,BLOQUEAR CRUCE,No.: 35<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.98383<br>LONGITUD: -74.7775,CALLE 34 CON CARRERA 45,POINT (-74.7775 10.98383)
POINT (-74.78989 10.96959),10.96959,-74.78989,36,BLOQUEAR CRUCE,No.: 36<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.96959<br>LONGITUD: -74.78989,Calle 45 con carrera 27,POINT (-74.78989 10.96959)
POINT (-74.80666 10.99261),10.99261,-74.80666,37,BLOQUEAR CRUCE,No.: 37<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.99261<br>LONGITUD: -74.80666,CALLE 72 CON CARRERA 44,POINT (-74.80666 10.99261)
POINT (-74.81435 11.00457),11.00457,-74.81435,38,BLOQUEAR CRUCE,No.: 38<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 11.00457<br>LONGITUD: -74.81435,CALLE 82 CON CARRERA 51B,POINT (-74.81435 11.00457)
